index,target,timestamp,processId,threadId,parentProcessId,userId,mountNamespace,processName,hostName,eventId,eventName,stackAddresses,argsNum,returnValue,domain,type,protocol,pathname,flags,dev,inode,fd,statbuf,dirfd,mode,ruid,euid,rgid,egid,cap,sockfd,addr,addrlen,dirp,count,stack,parent_tid,child_tid,tls,option,arg2,arg3,arg4,arg5,pid,sig,target,oldfd,newfd,uid,argv,gid
16,0,124.441155,381,381,1,101,4026532232,systemd-resolve,0,3,close,[139913106228395],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,124.441205,381,381,1,101,4026532232,systemd-resolve,0,1005,security_file_open,[],4,0,,,,/run/systemd/netif/links/5,O_RDONLY|O_LARGEFILE,25.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,124.441245,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,124.441334,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,124.441519,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74A00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,124.4416,381,381,1,101,4026532232,systemd-resolve,0,3,close,[],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,124.441701,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,124.441734,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74A00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,124.441772,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,124.44182,381,381,1,101,4026532232,systemd-resolve,0,3,close,[],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,124.441883,381,381,1,101,4026532232,systemd-resolve,0,1005,security_file_open,[],4,0,,,,/run/systemd/netif/links/5,O_RDONLY|O_LARGEFILE,25.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,124.441924,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,124.44196,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74A00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,124.441993,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,124.442062,381,381,1,101,4026532232,systemd-resolve,0,3,close,[],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,124.442144,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,124.442177,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,124.44223,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B747D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,124.442279,381,381,1,101,4026532232,systemd-resolve,0,3,close,[],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,124.44236,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,124.442416,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B748D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,124.44245,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,124.442541,381,381,1,101,4026532232,systemd-resolve,0,1005,security_file_open,[],4,0,,,,/run/systemd/netif/links/5,O_RDONLY|O_LARGEFILE,25.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,124.4426,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,124.442634,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B748D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,124.442667,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,124.442715,381,381,1,101,4026532232,systemd-resolve,0,3,close,[],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,124.442778,381,381,1,101,4026532232,systemd-resolve,0,1005,security_file_open,[],4,0,,,,/run/systemd/netif/links/5,O_RDONLY|O_LARGEFILE,25.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,124.442817,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,124.44285,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B748D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,124.443039,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,124.443144,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,124.443198,381,381,1,101,4026532232,systemd-resolve,0,3,close,[],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,124.443243,381,381,1,101,4026532232,systemd-resolve,0,1005,security_file_open,[],4,0,,,,/run/systemd/netif/links/5,O_RDONLY|O_LARGEFILE,25.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,124.443301,381,381,1,101,4026532232,systemd-resolve,0,257,openat,[],4,15,,,,/run/systemd/netif/links/5,O_RDONLY|O_CLOEXEC,,,,,-100.0,251571883,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,124.443369,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,[],2,0,,,,,,,,15.0,0x7FFC14B74740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,128.548679,1415,1415,1330,1000,4026531840,sshd,0,3,close,[140351859128711],1,0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,128.549545,1415,1415,1330,1000,4026531840,sshd,0,3,close,"[140351859128711, 94489664310688]",1,0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,128.551658,1330,1330,1,0,4026531840,sshd,0,113,setreuid,[],2,0,,,,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,128.55168,1330,1330,1,0,4026531840,sshd,0,114,setregid,[],2,0,,,,,,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
76,0,128.553357,1330,1330,1,0,4026531840,sshd,0,1005,security_file_open,"[140351859125931, 32482207980220009]",4,0,,,,/etc/login.defs,O_RDONLY|O_LARGEFILE,211812353.0,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,128.553455,1330,1330,1,0,4026531840,sshd,0,5,fstat,[140351859123849],2,0,,,,,,,,5.0,0x7FFD97E5C180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,128.553525,1330,1330,1,0,4026531840,sshd,0,3,close,[140351859147947],1,0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,128.553922,159,159,1,0,4026531840,systemd-journal,0,1005,security_file_open,"[139745116180260, 30801097634295859]",4,0,,,,/proc/1330/comm,O_RDONLY|O_LARGEFILE,5.0,38544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,128.553998,159,159,1,0,4026531840,systemd-journal,0,257,openat,[],4,38,,,,/proc/1330/comm,O_RDONLY|O_CLOEXEC,,,,,-100.0,4060237604,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,128.554095,159,159,1,0,4026531840,systemd-journal,0,3,close,[139745116202155],1,0,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,128.554191,159,159,1,0,4026531840,systemd-journal,0,1003,cap_capable,[],1,0,,,,,,,,,,,,,,,,CAP_SYS_PTRACE,,,,,,,,,,,,,,,,,,,,,,
87,0,128.554267,159,159,1,0,4026531840,systemd-journal,0,1005,security_file_open,"[139745116180260, 7596557092445433907]",4,0,,,,/proc/1330/cmdline,O_RDONLY|O_LARGEFILE,5.0,38546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,128.5544,159,159,1,0,4026531840,systemd-journal,0,257,openat,[],4,38,,,,/proc/1330/cmdline,O_RDONLY|O_CLOEXEC,,,,,-100.0,4060237604,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,128.554449,159,159,1,0,4026531840,systemd-journal,0,5,fstat,[],2,0,,,,,,,,38.0,0x7FFF368743B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,128.554538,159,159,1,0,4026531840,systemd-journal,0,3,close,[],1,0,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,128.554587,159,159,1,0,4026531840,systemd-journal,0,1005,security_file_open,"[139745116180260, 8463496752512577587]",4,0,,,,/proc/1330/status,O_RDONLY|O_LARGEFILE,5.0,38547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,128.554669,159,159,1,0,4026531840,systemd-journal,0,5,fstat,"[139745116178057, 7810775776112898672]",2,0,,,,,,,,38.0,0x7FFF36874420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,128.554832,159,159,1,0,4026531840,systemd-journal,0,257,openat,[],4,38,,,,/proc/1330/attr/current,O_RDONLY|O_CLOEXEC,,,,,-100.0,4060237604,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,128.5559,159,159,1,0,4026531840,systemd-journal,0,3,close,[139745116182955],1,0,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,128.556059,159,159,1,0,4026531840,systemd-journal,0,5,fstat,[139745116178057],2,0,,,,,,,,38.0,0x7FFF36874310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,128.556134,159,159,1,0,4026531840,systemd-journal,0,3,close,[139745116202155],1,0,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,128.556179,159,159,1,0,4026531840,systemd-journal,0,1005,security_file_open,"[139745116180260, 7956003944980754483]",4,0,,,,/proc/1330/loginuid,O_RDONLY|O_LARGEFILE,5.0,38551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,128.556218,159,159,1,0,4026531840,systemd-journal,0,257,openat,[],4,38,,,,/proc/1330/loginuid,O_RDONLY|O_CLOEXEC,,,,,-100.0,4060237604,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,128.556252,159,159,1,0,4026531840,systemd-journal,0,5,fstat,[],2,0,,,,,,,,38.0,0x7FFF36874310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,128.556425,159,159,1,0,4026531840,systemd-journal,0,1005,security_file_open,"[139745116180260, 8462108013223686195]",4,0,,,,/proc/1330/cgroup,O_RDONLY|O_LARGEFILE,5.0,38552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,128.556533,1330,1330,1,0,4026531840,sshd,0,41,socket,"[140351859202315, 18446744073709551615]",3,5,AF_UNIX,SOCK_STREAM|SOCK_NONBLOCK|SOCK_CLOEXEC,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,128.556668,1330,1330,1,0,4026531840,sshd,0,5,fstat,[140351859123849],2,0,,,,,,,,5.0,0x7FFD97E5BF60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,128.556914,483,483,1,103,4026531840,dbus-daemon,0,288,accept4,"[140041318169674, 18446744069414617087]",4,18,,,,,-385483702,,,,,,,,,,,,3.0,"{'sa_family': 'AF_UNIX','sun_path': '���'}",0x7FFFD7D77A1C,,,,,,,,,,,,,,,,,,,
112,0,128.556974,483,483,1,103,4026531840,dbus-daemon,0,51,getsockname,"[140041318167499, 34359738368]",3,0,,,,,,,,,,,,,,,,,18.0,"{'sa_family': 'AF_UNIX','sun_path': '/run/dbus/system_bus_socket'}",0x7FFFD7D7798C,,,,,,,,,,,,,,,,,,,
113,0,128.557181,159,159,1,0,4026531840,systemd-journal,0,257,openat,[],4,38,,,,/proc/1330/cgroup,O_RDONLY|O_CLOEXEC,,,,,-100.0,4060237604,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,128.557252,159,159,1,0,4026531840,systemd-journal,0,5,fstat,[],2,0,,,,,,,,38.0,0x7FFF368742B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,128.557427,159,159,1,0,4026531840,systemd-journal,0,3,close,[],1,0,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,128.558833,483,483,1,103,4026531840,dbus-daemon,0,21,access,[140041318093483],2,0,,,,/run/systemd/seats/,,,,,,,F_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,128.559046,483,483,1,103,4026531840,dbus-daemon,0,1005,security_file_open,"[140041319098971, 7596557092445433907]",4,0,,,,/proc/1330/cmdline,O_RDONLY|O_LARGEFILE,5.0,38546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0,128.55914,483,483,1,103,4026531840,dbus-daemon,0,257,openat,[],4,20,,,,/proc/1330/cmdline,O_RDONLY,,,,,-100.0,3910412891,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0,128.559186,483,483,1,103,4026531840,dbus-daemon,0,3,close,[140041319097303],1,0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,128.560601,1415,1415,1330,1000,4026531840,sshd,0,1010,sched_process_exit,[],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,128.561197,1330,1330,1,0,4026531840,sshd,0,3,close,[140351859128711],1,0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,128.56125,1330,1330,1,0,4026531840,sshd,0,1005,security_file_open,[140351859148380],4,0,,,,/etc/passwd,O_RDONLY|O_LARGEFILE,211812353.0,61234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,128.561281,1330,1330,1,0,4026531840,sshd,0,257,openat,[],4,5,,,,/etc/passwd,O_RDONLY|O_CLOEXEC,,,,,-100.0,917849692,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,128.56135,1330,1330,1,0,4026531840,sshd,0,3,close,[140351859147947],1,0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0,128.561394,1330,1330,1,0,4026531840,sshd,0,41,socket,"[140351859202315, 2]",3,5,AF_NETLINK,SOCK_RAW,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,128.561458,1330,1330,1,0,4026531840,sshd,0,49,bind,"[140351859200715, 140351859096047, 140351865665306]",3,0,,,,,,,,,,,,,,,,,9.0,{'sa_family': 'AF_NETLINK'},12,,,,,,,,,,,,,,,,,,,
131,0,128.56148,1330,1330,1,0,4026531840,sshd,0,51,getsockname,"[140351859200971, 140351859096047, 140351865665306]",3,0,,,,,,,,,,,,,,,,,9.0,{'sa_family': 'AF_NETLINK'},0x7FFD97E59814,,,,,,,,,,,,,,,,,,,
132,0,128.561543,1330,1330,1,0,4026531840,sshd,0,3,close,"[140351859147947, 140351859096047, 140351865665306]",1,0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0,128.56166,1330,1330,1,0,4026531840,sshd,0,1005,security_file_open,"[140351859125931, 32482207980220009]",4,0,,,,/etc/login.defs,O_RDONLY|O_LARGEFILE,211812353.0,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0,128.561688,1330,1330,1,0,4026531840,sshd,0,257,openat,[],4,5,,,,/etc/login.defs,O_RDONLY,,,,,-100.0,917827243,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,128.561795,1330,1330,1,0,4026531840,sshd,0,41,socket,[],3,5,AF_NETLINK,SOCK_RAW,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0,128.561827,1330,1330,1,0,4026531840,sshd,0,41,socket,[],3,9,AF_NETLINK,SOCK_RAW|SOCK_CLOEXEC,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0,128.56185,1330,1330,1,0,4026531840,sshd,0,49,bind,[],3,0,,,,,,,,,,,,,,,,,9.0,{'sa_family': 'AF_NETLINK'},12,,,,,,,,,,,,,,,,,,,
142,0,128.561871,1330,1330,1,0,4026531840,sshd,0,51,getsockname,[],3,0,,,,,,,,,,,,,,,,,9.0,{'sa_family': 'AF_NETLINK'},0x7FFD97E59814,,,,,,,,,,,,,,,,,,,
143,0,128.561926,1330,1330,1,0,4026531840,sshd,0,3,close,[],1,0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0,128.561956,1330,1330,1,0,4026531840,sshd,0,1003,cap_capable,[],1,0,,,,,,,,,,,,,,,,CAP_AUDIT_WRITE,,,,,,,,,,,,,,,,,,,,,,
146,0,128.562888,1330,1330,1,0,4026531840,sshd,0,1010,sched_process_exit,[],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0,128.563126,1,1,0,0,4026531840,systemd,0,257,openat,[],4,12,,,,/sys/fs/cgroup/unified/user.slice/user-1000.slice/session-4.scope/cgroup.events,O_RDONLY|O_CLOEXEC,,,,,-100.0,3070885668,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,128.563151,1,1,0,0,4026531840,systemd,0,5,fstat,"[140074839307913, 8444091476026222435]",2,0,,,,,,,,12.0,0x7FFFD33885C0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0,128.563176,1,1,0,0,4026531840,systemd,0,5,fstat,[140074839307913],2,0,,,,,,,,12.0,0x7FFFD3388430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0,128.563214,1,1,0,0,4026531840,systemd,0,3,close,[140074839332011],1,0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0,128.563334,1,1,0,0,4026531840,systemd,0,257,openat,[],4,12,,,,/proc/1330/comm,O_RDONLY|O_CLOEXEC,,,,,-100.0,3070885668,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0,128.563357,1,1,0,0,4026531840,systemd,0,5,fstat,[],2,0,,,,,,,,12.0,0x7FFFD33885D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0,128.563396,1,1,0,0,4026531840,systemd,0,3,close,[],1,0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0,128.56351,1,1,0,0,4026531840,systemd,0,5,fstat,[],2,0,,,,,,,,12.0,0x7FFFD33885E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0,128.563571,1,1,0,0,4026531840,systemd,0,1005,security_file_open,"[140074839310116, 8462108013223686195]",4,0,,,,/proc/1330/cgroup,O_RDONLY|O_LARGEFILE,5.0,38552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0,128.563597,1,1,0,0,4026531840,systemd,0,257,openat,[],4,12,,,,/proc/1330/cgroup,O_RDONLY|O_CLOEXEC,,,,,-100.0,3070885668,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0,128.563618,1,1,0,0,4026531840,systemd,0,5,fstat,[],2,0,,,,,,,,12.0,0x7FFFD3388580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0,128.56376,1,1,0,0,4026531840,systemd,0,257,openat,"[140074839310116, 7867630723722798947]",4,-2,,,,/sys/fs/cgroup/memory/user.slice/user-1000.slice/session-4.scope/memory.events,O_RDONLY|O_CLOEXEC,,,,,-100.0,3070885668,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0,128.563907,1,1,0,0,4026531840,systemd,0,6,lstat,"[140074839308010, 140074836041879, 8751406006747098624]",2,0,,,,/sys/fs/cgroup/unified/user.slice/user-1000.slice/session-4.scope,,,,,0x7FFFD33886E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,128.563936,1,1,0,0,4026531840,systemd,0,1005,security_file_open,[140074839332444],4,0,,,,/sys/fs/cgroup/unified/user.slice/user-1000.slice/session-4.scope,O_RDONLY|O_NONBLOCK|O_LARGEFILE|O_DIRECTORY,28.0,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0,128.563964,1,1,0,0,4026531840,systemd,0,257,openat,[],4,12,,,,/sys/fs/cgroup/unified/user.slice/user-1000.slice/session-4.scope,O_RDONLY|O_NONBLOCK|O_DIRECTORY|O_CLOEXEC,,,,,-100.0,3070907996,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,0,128.563986,1,1,0,0,4026531840,systemd,0,5,fstat,[140074839307913],2,0,,,,,,,,12.0,0x7FFFD3388300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0,128.564129,1,1,0,0,4026531840,systemd,0,217,getdents64,[],3,0,,,,,,,,12.0,,,,,,,,,,,,0x555F16829500,32768.0,,,,,,,,,,,,,,,,,
171,0,128.564151,1,1,0,0,4026531840,systemd,0,3,close,"[140074839332011, 1]",1,0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0,128.564212,1,1,0,0,4026531840,systemd,0,6,lstat,"[140074839308010, 140074836041879, 3399705347931071860]",2,0,,,,/sys/fs/cgroup/systemd/user.slice/user-1000.slice/session-4.scope,,,,,0x7FFFD33886A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0,128.564237,1,1,0,0,4026531840,systemd,0,1005,security_file_open,[],4,0,,,,/sys/fs/cgroup/systemd/user.slice/user-1000.slice/session-4.scope,O_RDONLY|O_NONBLOCK|O_LARGEFILE|O_DIRECTORY,29.0,668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,0,128.564265,1,1,0,0,4026531840,systemd,0,257,openat,[],4,12,,,,/sys/fs/cgroup/systemd/user.slice/user-1000.slice/session-4.scope,O_RDONLY|O_NONBLOCK|O_DIRECTORY|O_CLOEXEC,,,,,-100.0,3070907996,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0,128.564286,1,1,0,0,4026531840,systemd,0,5,fstat,[],2,0,,,,,,,,12.0,0x7FFFD33882C0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0,128.56431,1,1,0,0,4026531840,systemd,0,217,getdents64,[],3,200,,,,,,,,12.0,,,,,,,,,,,,0x555F16829500,32768.0,,,,,,,,,,,,,,,,,
177,0,128.564356,1,1,0,0,4026531840,systemd,0,217,getdents64,[],3,0,,,,,,,,12.0,,,,,,,,,,,,0x555F16829500,32768.0,,,,,,,,,,,,,,,,,
179,0,128.564423,1,1,0,0,4026531840,systemd,0,6,lstat,"[140074839308010, 140074836041879, 7310291565085220723]",2,-2,,,,/sys/fs/cgroup/cpu/user.slice/user-1000.slice/session-4.scope,,,,,0x7FFFD33886E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
